#{"t_start": 1763743319.0313938, "env_id": "None"}
r,l,t
0.0,1,1.608938
0.0,1,1.709613
0.0,1,1.713787
0.0,1,1.718059
0.0,1,1.722311
0.0,1,1.726395
0.0,1,1.730518
0.0,1,1.734599
0.0,1,1.738846
0.0,1,1.742968
0.0,1,1.747102
0.0,1,1.75123
0.0,1,1.755491
0.0,1,1.759808
0.0,1,1.764155
0.0,1,1.768409
0.0,1,1.772732
0.0,1,1.777028
0.0,1,1.781309
0.0,1,1.78556
0.0,1,1.789872
0.0,1,1.794135
0.0,1,1.798478
0.0,1,1.80271
0.0,1,1.807164
0.0,1,1.816475
0.0,1,1.823726
0.0,1,1.828308
0.0,1,1.832925
0.0,1,1.837598
0.0,1,1.842008
0.0,1,1.846352
0.0,1,1.850629
0.0,1,1.85486
0.0,1,1.859072
0.0,1,1.863256
0.0,1,1.867427
0.0,1,1.871518
0.0,1,1.875824
0.0,1,1.880024
0.0,1,1.884368
0.0,1,1.888695
0.0,1,1.893135
0.0,1,1.897535
0.0,1,1.901832
0.0,1,1.906133
0.0,1,1.911086
0.0,1,1.91748
0.0,1,1.922107
0.0,1,1.926536
0.0,1,1.931095
0.0,1,1.935447
0.0,1,1.939857
0.0,1,1.944153
0.0,1,1.949939
0.0,1,1.95426
0.0,1,1.958618
0.0,1,1.963128
0.0,1,1.967621
0.0,1,1.972365
0.0,1,1.976959
0.0,1,1.981406
0.0,1,1.986122
0.0,1,1.990498
0.0,1,1.995204
0.0,1,1.999588
0.0,1,2.004083
0.0,1,2.008451
0.0,1,2.013438
0.0,1,2.020199
0.0,1,2.024648
0.0,1,2.029254
0.0,1,2.035174
0.0,1,2.039666
0.0,1,2.044204
0.0,1,2.048516
0.0,1,2.053137
0.0,1,2.057315
